topic,difficulty,correct,date
Information and Ideas/Inferences,h,True,2025-02-07 09:27:49
Information and Ideas/Inferences,m,True,2025-02-07 09:27:50
Information and Ideas/Inferences,h,True,2025-02-07 09:27:51
Information and Ideas/Inferences,m,True,2025-02-07 09:27:52
Information and Ideas/Inferences,h,True,2025-02-07 09:27:53
Information and Ideas/Inferences,m,True,2025-02-07 09:27:54
Information and Ideas/Inferences,h,False,2025-02-07 09:27:55
Information and Ideas/Inferences,h,True,2025-02-07 09:27:56
Information and Ideas/Inferences,h,True,2025-02-07 09:27:57
Information and Ideas/Inferences,h,False,2025-02-07 09:27:58
Information and Ideas/Inferences,h,True,2025-02-07 09:27:59
Expression of Ideas/Transitions,m,True,2025-02-07 09:27:53
Expression of Ideas/Transitions,m,True,2025-02-07 09:27:54
Expression of Ideas/Transitions,h,False,2025-02-07 09:27:55
Expression of Ideas/Transitions,m,True,2025-02-07 09:27:56
Expression of Ideas/Transitions,h,True,2025-02-07 09:27:57
Expression of Ideas/Transitions,m,True,2025-02-07 09:27:58
Expression of Ideas/Transitions,h,True,2025-02-07 09:27:59
Craft and Structure/Cross-Text Connections,h,False,2025-02-07 09:27:45
Craft and Structure/Cross-Text Connections,h,True,2025-02-07 09:27:46
Craft and Structure/Cross-Text Connections,h,True,2025-02-07 09:27:47
Craft and Structure/Cross-Text Connections,h,True,2025-02-07 09:27:48
Problem-Solving and Data Analysis/Inference from sample statistics,h,True,2025-02-07 09:27:49
Problem-Solving and Data Analysis/Inference from sample statistics,h,True,2025-02-07 09:27:50
Problem-Solving and Data Analysis/Inference from sample statistics,h,False,2025-02-07 09:27:51
Problem-Solving and Data Analysis/Inference from sample statistics,h,True,2025-02-07 09:27:52
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-07 09:27:53
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-07 09:27:54
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-07 09:27:55
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-07 09:27:56
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-07 09:27:57
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-07 09:27:58
Expression of Ideas/Rhetorical Synthesis,h,True,2025-02-07 09:27:59
Expression of Ideas/Rhetorical Synthesis,h,False,2025-02-07 09:28:00
Expression of Ideas/Rhetorical Synthesis,h,False,2025-02-07 09:28:01
Craft and Structure/Text Structure and Purpose,h,True,2025-02-07 09:28:06
Craft and Structure/Text Structure and Purpose,h,False,2025-02-07 09:28:07
Craft and Structure/Text Structure and Purpose,h,True,2025-02-07 09:28:08
Craft and Structure/Text Structure and Purpose,h,True,2025-02-07 09:28:09
Craft and Structure/Text Structure and Purpose,h,True,2025-02-07 09:28:10
"Geometry and Trigonometry/Lines, angles, and triangles",h,True,2025-02-07 09:28:11
"Geometry and Trigonometry/Lines, angles, and triangles",h,False,2025-02-07 09:28:12
"Geometry and Trigonometry/Lines, angles, and triangles",h,True,2025-02-07 09:28:13
"Geometry and Trigonometry/Lines, angles, and triangles",h,True,2025-02-07 09:28:14
"Geometry and Trigonometry/Lines, angles, and triangles",h,True,2025-02-07 09:28:15
"Geometry and Trigonometry/Lines, angles, and triangles",h,True,2025-02-07 09:28:16
"Geometry and Trigonometry/Lines, angles, and triangles",h,True,2025-02-07 09:28:17
"Geometry and Trigonometry/Lines, angles, and triangles",h,True,2025-02-07 09:28:18
"Geometry and Trigonometry/Lines, angles, and triangles",h,False,2025-02-07 09:28:19
"Standard English Conventions/Form, Structure, and Sense",h,True,2025-02-07 09:28:20
"Standard English Conventions/Form, Structure, and Sense",h,True,2025-02-07 09:28:21
"Standard English Conventions/Form, Structure, and Sense",m,False,2025-02-07 09:28:22
"Standard English Conventions/Form, Structure, and Sense",h,True,2025-02-07 09:28:23
"Standard English Conventions/Form, Structure, and Sense",h,True,2025-02-07 09:28:24
"Standard English Conventions/Form, Structure, and Sense",h,True,2025-02-07 09:28:25
"Standard English Conventions/Form, Structure, and Sense",h,True,2025-02-07 09:28:26
Problem-Solving and Data Analysis/Probability,h,True,2025-02-07 09:27:45
Problem-Solving and Data Analysis/Probability,h,True,2025-02-07 09:27:46
Problem-Solving and Data Analysis/Probability,h,True,2025-02-07 09:27:47
Problem-Solving and Data Analysis/Probability,h,True,2025-02-07 09:27:48
Problem-Solving and Data Analysis/Probability,h,True,2025-02-07 09:27:49
Problem-Solving and Data Analysis/Probability,h,False,2025-02-07 09:27:50
Problem-Solving and Data Analysis/Probability,h,True,2025-02-07 09:27:51
Standard English Conventions/Boundaries,h,True,2025-02-07 09:27:57
Standard English Conventions/Boundaries,h,True,2025-02-07 09:27:58
Standard English Conventions/Boundaries,h,True,2025-02-07 09:27:59
Standard English Conventions/Boundaries,h,True,2025-02-07 09:28:00
Standard English Conventions/Boundaries,h,True,2025-02-07 09:28:01
Standard English Conventions/Boundaries,h,True,2025-02-07 09:28:02
Standard English Conventions/Boundaries,h,True,2025-02-07 09:28:03
Standard English Conventions/Boundaries,h,True,2025-02-07 09:28:04
Standard English Conventions/Boundaries,h,True,2025-02-07 09:28:05
Standard English Conventions/Boundaries,h,True,2025-02-07 09:28:06
Problem-Solving and Data Analysis/Two-variable data,h,True,2025-02-07 09:28:07
Problem-Solving and Data Analysis/Two-variable data,h,False,2025-02-07 09:28:08
Problem-Solving and Data Analysis/Two-variable data,h,True,2025-02-07 09:28:09
Problem-Solving and Data Analysis/Two-variable data,h,True,2025-02-07 09:28:10
Problem-Solving and Data Analysis/Two-variable data,h,True,2025-02-07 09:28:11
Problem-Solving and Data Analysis/Two-variable data,h,True,2025-02-07 09:28:12
Problem-Solving and Data Analysis/Two-variable data,h,True,2025-02-07 09:28:13
Problem-Solving and Data Analysis/Two-variable data,h,True,2025-02-07 09:28:14
Advanced Math/Nonlinear functions,h,True,2025-02-07 09:28:21
Advanced Math/Nonlinear functions,h,False,2025-02-07 09:28:22
Advanced Math/Nonlinear functions,h,True,2025-02-07 09:28:23
Advanced Math/Nonlinear functions,h,True,2025-02-07 09:28:24
Advanced Math/Nonlinear functions,h,True,2025-02-07 09:28:25
Advanced Math/Nonlinear functions,h,False,2025-02-07 09:28:26
Advanced Math/Nonlinear functions,h,True,2025-02-07 09:28:27
Advanced Math/Nonlinear functions,h,True,2025-02-07 09:28:28
Advanced Math/Nonlinear functions,h,True,2025-02-07 09:28:29
Problem-Solving and Data Analysis/One-variable data,h,True,2025-02-07 09:28:30
Problem-Solving and Data Analysis/One-variable data,h,True,2025-02-07 09:28:31
Problem-Solving and Data Analysis/One-variable data,h,True,2025-02-07 09:28:32
Problem-Solving and Data Analysis/One-variable data,h,True,2025-02-07 09:28:33
Problem-Solving and Data Analysis/One-variable data,h,True,2025-02-07 09:28:34
Problem-Solving and Data Analysis/One-variable data,h,False,2025-02-07 09:28:35
